"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"HDAC7"	1.38207343994841e-11	-0.0825018956805893	0.174	0.305	3.23073487322341e-07	"2"	"HDAC7"
"PPP2R2A"	1.43335047128047e-11	-0.0573176161668557	0.172	0.308	3.35060006166524e-07	"2"	"PPP2R2A"
"NARS"	1.43538298965633e-11	-0.0603526202941498	0.263	0.43	3.35535127662065e-07	"2"	"NARS"
"SET"	1.4417683974681e-11	-0.133793087733376	0.45	0.663	3.37027780592143e-07	"2"	"SET"
"WDR46"	1.46698991987287e-11	-0.054786660705074	0.134	0.255	3.42923563669483e-07	"2"	"WDR46"
"KDELC2"	1.50669318248861e-11	-0.0794189023994659	0.183	0.321	3.52204598338537e-07	"2"	"KDELC2"
"DGCR6L"	1.54539845333341e-11	-0.0702398460226529	0.242	0.407	3.61252342451218e-07	"2"	"DGCR6L"
"ELF3"	1.5541899432337e-11	-0.0960811660486967	0.222	0.363	3.63307441130309e-07	"2"	"ELF3"
"HSPA8"	1.57208649191827e-11	0.455945849129918	0.727	0.757	3.67490938350814e-07	"2"	"HSPA8"
"IER3"	1.59442545485004e-11	-0.344733490772284	0.269	0.411	3.72712894325744e-07	"2"	"IER3"
"TPGS1"	1.78298207628455e-11	-0.075715383677906	0.258	0.421	4.16789890152277e-07	"2"	"TPGS1"
"TMEM87A"	1.83844272669537e-11	-0.117170022519434	0.33	0.516	4.2975437179231e-07	"2"	"TMEM87A"
"JMJD1C"	1.85947264064883e-11	-0.108978542003085	0.338	0.53	4.3467032447807e-07	"2"	"JMJD1C"
"TMBIM4.1"	1.97647690791127e-11	0.252727951375671	0.734	0.797	4.62021241993338e-07	"2"	"TMBIM4.1"
"LLPH"	2.00737197729532e-11	-0.0641412538336914	0.158	0.286	4.69243273412553e-07	"2"	"LLPH"
"ID4"	2.04818800825781e-11	-0.236740591271092	0.146	0.26	4.78784428810346e-07	"2"	"ID4"
"MRPS12"	2.08813890642314e-11	-0.057067826817751	0.17	0.305	4.88123350765472e-07	"2"	"MRPS12"
"MRPL41"	2.10123353859505e-11	-0.141904074058638	0.468	0.679	4.91184351981979e-07	"2"	"MRPL41"
"PPM1B"	2.15781461236654e-11	0.360977076745026	0.324	0.267	5.04410743786802e-07	"2"	"PPM1B"
"UBE2Z"	2.23349295047665e-11	-0.0689344749315808	0.144	0.265	5.22101312103422e-07	"2"	"UBE2Z"
"CYBRD1"	2.26537650432395e-11	0.299334830270817	0.739	0.784	5.29554411650766e-07	"2"	"CYBRD1"
"ZNF703"	2.32816995630554e-11	-0.115627985623446	0.165	0.287	5.44233008985983e-07	"2"	"ZNF703"
"SHOC2"	2.35694972262382e-11	-0.0843352718458128	0.161	0.288	5.50960567160544e-07	"2"	"SHOC2"
"ELP2"	2.4402591915014e-11	-0.0460395450022827	0.161	0.292	5.70434988605368e-07	"2"	"ELP2"
"NBR1"	2.57026411786936e-11	-0.0628432507020104	0.157	0.285	6.00824940193141e-07	"2"	"NBR1"
"CNDP2"	2.6186934111986e-11	-0.0798294290852241	0.145	0.262	6.12145771801784e-07	"2"	"CNDP2"
"LOX"	2.73188443800062e-11	-0.185467902471383	0.385	0.557	6.38605306227024e-07	"2"	"LOX"
"QARS"	2.84232890170392e-11	-0.0618702032199321	0.192	0.336	6.64422804062308e-07	"2"	"QARS"
"ARMC10"	3.06146231022329e-11	-0.0606093521372971	0.183	0.317	7.15647429637795e-07	"2"	"ARMC10"
"NUMA1"	3.07906323141405e-11	-0.0741849123104608	0.172	0.305	7.19761820975348e-07	"2"	"NUMA1"
"SERPINB1"	3.10987009284544e-11	-0.0603816530731349	0.253	0.42	7.2696323290355e-07	"2"	"SERPINB1"
"YPEL3"	3.12826487761573e-11	-0.0808290566949428	0.223	0.372	7.31263197791453e-07	"2"	"YPEL3"
"EHD2"	3.19546490578539e-11	-0.0660623937921403	0.259	0.426	7.46971876376393e-07	"2"	"EHD2"
"SETD7"	3.21350727895956e-11	-0.0738408880907592	0.147	0.27	7.51189461529586e-07	"2"	"SETD7"
"ADAMTS1"	3.34332565328184e-11	0.53082330650225	0.37	0.299	7.81535804711163e-07	"2"	"ADAMTS1"
"RAB5A"	3.63101772029761e-11	-0.0764564657308952	0.21	0.357	8.4878670229677e-07	"2"	"RAB5A"
"SF3B4"	3.64873126100251e-11	-0.0509506947166599	0.135	0.25	8.52927419571946e-07	"2"	"SF3B4"
"RNF145"	3.68453564526989e-11	-0.0945154758122654	0.262	0.419	8.6129705243829e-07	"2"	"RNF145"
"TM9SF3"	3.82953769632056e-11	-0.111215995291581	0.36	0.557	8.95192731891894e-07	"2"	"TM9SF3"
"POLDIP2"	4.03064334334771e-11	-0.056581657191673	0.152	0.274	9.42203187940961e-07	"2"	"POLDIP2"
"SPTAN1"	4.13992482178767e-11	-0.0871504736865618	0.271	0.44	9.67748826341086e-07	"2"	"SPTAN1"
"MPLKIP"	4.29570426337046e-11	-0.10743294780493	0.297	0.468	1.00416382860548e-06	"2"	"MPLKIP"
"PDS5B"	4.46441627288961e-11	-0.0797269910841386	0.146	0.266	1.04360194795068e-06	"2"	"PDS5B"
"VAT1"	4.48827778965254e-11	-0.0951728137404175	0.252	0.408	1.04917981610918e-06	"2"	"VAT1"
"TAF12"	4.56733990756376e-11	-0.0514242279047536	0.191	0.333	1.0676613767921e-06	"2"	"TAF12"
"CDK5RAP3"	4.59435482148175e-11	-0.0756011620862688	0.236	0.393	1.07397638306957e-06	"2"	"CDK5RAP3"
"TMEM106B"	4.63364056263808e-11	-0.0757509346262408	0.244	0.4	1.08315981792228e-06	"2"	"TMEM106B"
"SLC2A3"	5.17712344021440e-11	-0.186114964599832	0.271	0.415	1.21020437538452e-06	"2"	"SLC2A3"
"C12orf57"	5.5172508842884e-11	0.261179541647738	0.846	0.89	1.28971256671126e-06	"2"	"C12orf57"
"GLIPR2"	5.74208585944631e-11	-0.082534196521023	0.183	0.318	1.34226999050417e-06	"2"	"GLIPR2"
"ILF3"	5.81809703074865e-11	-0.0576386866115139	0.239	0.396	1.3600383619078e-06	"2"	"ILF3"
"C14orf119"	5.97784326481679e-11	-0.0673384112084103	0.256	0.418	1.39738064158357e-06	"2"	"C14orf119"
"RAD23B"	5.9956929893218e-11	-0.0830358438032528	0.269	0.438	1.40155319318386e-06	"2"	"RAD23B"
"TRIM8"	6.08699728517568e-11	-0.0942463923392738	0.174	0.301	1.42289648538267e-06	"2"	"TRIM8"
"SRP54"	6.2453514864728e-11	-0.0420974584751433	0.187	0.329	1.45991336347788e-06	"2"	"SRP54"
"RPS3A"	6.30158257771086e-11	-0.140451519677327	0.996	0.998	1.47305794336569e-06	"2"	"RPS3A"
"HSPE1"	6.68081071814809e-11	0.798962716935069	0.701	0.781	1.5617063134743e-06	"2"	"HSPE1"
"POLR3GL"	6.73460838458667e-11	-0.0607216770066804	0.227	0.38	1.57428205598098e-06	"2"	"POLR3GL"
"SMIM15"	6.78110530133813e-11	-0.0779011102085243	0.237	0.392	1.5851511752408e-06	"2"	"SMIM15"
"PLGRKT"	6.83879285195111e-11	-0.0708021775744179	0.158	0.279	1.59863621707209e-06	"2"	"PLGRKT"
"ARL8B"	6.93270947595487e-11	-0.0700491855964265	0.163	0.288	1.62059016709921e-06	"2"	"ARL8B"
"DNPH1"	6.9730214162509e-11	-0.0834947798087201	0.289	0.465	1.63001348626281e-06	"2"	"DNPH1"
"PLP2"	7.02065027673473e-11	-0.11029972368724	0.424	0.61	1.64114720868951e-06	"2"	"PLP2"
"TMEM183A"	7.0404306595411e-11	-0.0757069072678945	0.155	0.275	1.64577107097433e-06	"2"	"TMEM183A"
"ARMCX2"	7.33091716504448e-11	-0.0431050622244313	0.138	0.257	1.7136751965008e-06	"2"	"ARMCX2"
"ZFAND6"	7.89384136334859e-11	-0.0854207174416458	0.274	0.443	1.84526435709637e-06	"2"	"ZFAND6"
"CLEC2B"	7.9784203196265e-11	-0.149970257067344	0.405	0.588	1.86503553391589e-06	"2"	"CLEC2B"
"AP2A1"	8.99225909132848e-11	-0.0707787543295531	0.174	0.301	2.10203048518895e-06	"2"	"AP2A1"
"MPG"	8.99746687968972e-11	-0.072712968022175	0.31	0.491	2.10324785779627e-06	"2"	"MPG"
"GSDMD"	9.20855522787487e-11	-0.0676955682880466	0.222	0.366	2.15259187006803e-06	"2"	"GSDMD"
"UFSP2"	9.43881743194158e-11	-0.0551823187341884	0.161	0.288	2.20641796289066e-06	"2"	"UFSP2"
"SRPX2"	9.7590016683795e-11	-0.0897782934280392	0.152	0.27	2.28126423000039e-06	"2"	"SRPX2"
"PPP2R5E"	9.81433765530756e-11	-0.0562079562672572	0.167	0.292	2.29419957030469e-06	"2"	"PPP2R5E"
"WHSC1L1"	9.93044758508879e-11	-0.061719427684055	0.257	0.422	2.32134142749035e-06	"2"	"WHSC1L1"
"HIGD1A"	1.00414709784842e-10	-0.104238698332106	0.275	0.436	2.34729425593046e-06	"2"	"HIGD1A"
"UFD1L"	1.00720716470954e-10	-0.0860693602098286	0.237	0.384	2.35444746822501e-06	"2"	"UFD1L"
"GOLGA7"	1.05165177983793e-10	-0.0665825513955759	0.249	0.411	2.45834120054916e-06	"2"	"GOLGA7"
"HPRT1"	1.0536527654397e-10	-0.0669848719510351	0.147	0.264	2.46301870449185e-06	"2"	"HPRT1"
"UBXN6"	1.07431294124923e-10	-0.0631875430584683	0.204	0.344	2.51131393146419e-06	"2"	"UBXN6"
"CYB5A"	1.11600361465969e-10	0.332851800428442	0.598	0.619	2.6087700496285e-06	"2"	"CYB5A"
"CHCHD3"	1.12927145278627e-10	-0.0585504736257985	0.139	0.254	2.63978494803319e-06	"2"	"CHCHD3"
"SRPK2"	1.13099900513424e-10	-0.0478497450914002	0.206	0.35	2.64382327440179e-06	"2"	"SRPK2"
"CALCOCO1"	1.161343706461e-10	-0.0786273811185331	0.18	0.31	2.71475704822323e-06	"2"	"CALCOCO1"
"ANAPC5"	1.17136378535886e-10	-0.0689124832937797	0.278	0.447	2.73817998465488e-06	"2"	"ANAPC5"
"PPP1CA"	1.19380095987228e-10	-0.0759758420839567	0.3	0.479	2.79062912379744e-06	"2"	"PPP1CA"
"FAM210B"	1.27216070895443e-10	-0.0591409942211809	0.169	0.294	2.97380287325187e-06	"2"	"FAM210B"
"MGST3"	1.38314426633111e-10	-0.177813535162973	0.78	0.891	3.23323803697561e-06	"2"	"MGST3"
"CSDE1"	1.38988805811241e-10	-0.153834543909278	0.556	0.76	3.24900232464357e-06	"2"	"CSDE1"
"PRELID1"	1.44447516065947e-10	-0.129476753407424	0.47	0.673	3.37660513555758e-06	"2"	"PRELID1"
"SRP9"	1.46648347701561e-10	-0.128813279958679	0.53	0.718	3.4280517758717e-06	"2"	"SRP9"
"MRPS10"	1.48580865947221e-10	-0.0663033793556353	0.161	0.281	3.47322632238223e-06	"2"	"MRPS10"
"TAOK1"	1.49901786911295e-10	-0.080324095110722	0.157	0.278	3.50410417083844e-06	"2"	"TAOK1"
"HDGF"	1.51793227678719e-10	-0.0444925468775266	0.191	0.326	3.54831849021773e-06	"2"	"HDGF"
"NDUFA9"	1.55711309994737e-10	-0.0597092447690979	0.169	0.297	3.63990758243696e-06	"2"	"NDUFA9"
"CSNK1D"	1.57220314497072e-10	-0.0647762637160635	0.176	0.305	3.67518207168355e-06	"2"	"CSNK1D"
"PMF1"	1.63773753775008e-10	-0.0674690712918194	0.183	0.315	3.82837526824458e-06	"2"	"PMF1"
"ANAPC11"	1.65146535877721e-10	-0.133016577987835	0.571	0.765	3.86046542267762e-06	"2"	"ANAPC11"
"PUM1"	1.72546593547189e-10	-0.0737193831201052	0.193	0.328	4.0334491707591e-06	"2"	"PUM1"
"KRT18"	1.78271855008089e-10	0.347275384799167	0.445	0.408	4.16728288266908e-06	"2"	"KRT18"
"PAFAH1B1"	1.79304960884779e-10	-0.0726853437995676	0.218	0.363	4.1914327656426e-06	"2"	"PAFAH1B1"
"TADA3"	1.85390102952764e-10	-0.0590790129230621	0.215	0.362	4.33367904662382e-06	"2"	"TADA3"
"ITGAE"	1.88557842384496e-10	-0.0714827459542382	0.147	0.263	4.40772812357998e-06	"2"	"ITGAE"
"ASPH"	1.90991032599612e-10	-0.0672534647904429	0.304	0.476	4.46460637804854e-06	"2"	"ASPH"
"ZNF428"	1.91334225374866e-10	-0.0908731384559067	0.376	0.57	4.47262885236288e-06	"2"	"ZNF428"
"RHOG"	1.94631897749881e-10	-0.0534798824053061	0.201	0.342	4.54971524180122e-06	"2"	"RHOG"
"RNF187"	1.97475491365358e-10	-0.068239153091852	0.256	0.412	4.6161870861566e-06	"2"	"RNF187"
"CCNI"	1.98762796447651e-10	0.230621848737566	0.885	0.905	4.6462791297603e-06	"2"	"CCNI"
"VASP"	2.04467050543675e-10	-0.038256635142106	0.175	0.303	4.77962177350896e-06	"2"	"VASP"
"C14orf1"	2.1081648092639e-10	-0.0617978162872554	0.186	0.317	4.92804605813528e-06	"2"	"C14orf1"
"PDXDC1"	2.1251412138876e-10	-0.0564181861200567	0.139	0.253	4.96773010158366e-06	"2"	"PDXDC1"
"MRPL55"	2.12812955877583e-10	-0.0546694634558487	0.324	0.507	4.97471565659439e-06	"2"	"MRPL55"
"UBE2R2"	2.15029296873323e-10	-0.0453898850665189	0.218	0.361	5.02652484371081e-06	"2"	"UBE2R2"
"ATXN2"	2.1824661890818e-10	-0.0768692017016453	0.149	0.262	5.10173296359762e-06	"2"	"ATXN2"
"POLR2B"	2.18542077377985e-10	-0.0638132660239981	0.155	0.272	5.10863960078777e-06	"2"	"POLR2B"
"RAP1B"	2.22296315112755e-10	-0.133371302839229	0.471	0.679	5.19639866207576e-06	"2"	"RAP1B"
"SAR1B"	2.2592821065083e-10	-0.0586392402971074	0.191	0.325	5.28129785217381e-06	"2"	"SAR1B"
"CCDC104"	2.26111680243319e-10	-0.074526182578901	0.237	0.389	5.28558663736782e-06	"2"	"CCDC104"
"UBE2E1"	2.2930458119702e-10	-0.0501844773989928	0.266	0.432	5.36022389006154e-06	"2"	"UBE2E1"
"CPSF3L"	2.35749809542603e-10	-0.0601343400797432	0.169	0.292	5.5108875478679e-06	"2"	"CPSF3L"
"VGLL3"	2.43407543870353e-10	0.443040725828329	0.34	0.289	5.68989474551338e-06	"2"	"VGLL3"
"PYCARD"	2.49097094759883e-10	-0.0654338272657448	0.178	0.306	5.82289368710702e-06	"2"	"PYCARD"
"RPS4Y1"	2.55605687537932e-10	-0.265868007001976	0.45	0.558	5.9750385518867e-06	"2"	"RPS4Y1"
"NDUFA12"	2.58359907929983e-10	-0.145267572114709	0.474	0.667	6.03942120777129e-06	"2"	"NDUFA12"
"CHCHD1"	2.63643392848213e-10	-0.0549938675355889	0.201	0.336	6.16292795121982e-06	"2"	"CHCHD1"
"SMS"	2.71023084146771e-10	-0.0761551225888875	0.218	0.354	6.33543561501492e-06	"2"	"SMS"
"SPRED1"	2.81420532741847e-10	-0.0822991623564892	0.151	0.264	6.57848637337343e-06	"2"	"SPRED1"
"ZNF638"	2.90197186045236e-10	-0.0531061441350452	0.181	0.309	6.78364942099344e-06	"2"	"ZNF638"
"CLPP"	2.94165469667114e-10	-0.0454910542606353	0.203	0.344	6.87641201893846e-06	"2"	"CLPP"
"DDIT4"	2.97235065672361e-10	-0.148793493669356	0.583	0.765	6.94816689515712e-06	"2"	"DDIT4"
"CHP1"	3.04568669404883e-10	-0.0617674009483276	0.163	0.285	7.11959721600854e-06	"2"	"CHP1"
"EIF2S3"	3.06916066287605e-10	-0.08246852495267	0.332	0.512	7.17446996553905e-06	"2"	"EIF2S3"
"B3GAT3"	3.14484099145072e-10	-0.0624130791451	0.191	0.324	7.3513803016152e-06	"2"	"B3GAT3"
"AGPAT2"	3.14505434094784e-10	-0.0608259843076817	0.191	0.327	7.35187902739968e-06	"2"	"AGPAT2"
"NCL"	3.20575611290119e-10	0.354299150911235	0.665	0.719	7.49377548951782e-06	"2"	"NCL"
"CLIC1"	3.32079115190712e-10	-0.162401670355928	0.735	0.875	7.76268139669808e-06	"2"	"CLIC1"
"SRM"	3.32712614513961e-10	-0.0989598253221706	0.307	0.477	7.77749007687834e-06	"2"	"SRM"
"GLOD4"	3.43620035392788e-10	-0.0592281293546668	0.172	0.297	8.03246194734182e-06	"2"	"GLOD4"
"ARFRP1"	3.61532800900357e-10	-0.0705878442673182	0.171	0.294	8.45119075384675e-06	"2"	"ARFRP1"
"RAB34"	3.66469181260485e-10	-0.0997771732992394	0.424	0.627	8.5665835811451e-06	"2"	"RAB34"
"PPP1R7"	3.7109975766319e-10	-0.0505624407122054	0.22	0.362	8.67482793513473e-06	"2"	"PPP1R7"
"DR1"	3.84701366351247e-10	-0.0586626800211454	0.158	0.279	8.99277913982674e-06	"2"	"DR1"
"UBA1"	3.94962387489011e-10	-0.0686843264957018	0.239	0.39	9.23264076994311e-06	"2"	"UBA1"
"PHC2"	4.065613199915e-10	-0.0652961806539376	0.211	0.346	9.50377741612129e-06	"2"	"PHC2"
"FLYWCH2"	4.07565549868102e-10	-0.0550480018239851	0.231	0.377	9.52725229371675e-06	"2"	"FLYWCH2"
"UTRN"	4.08674581773004e-10	-0.0900581469166863	0.203	0.335	9.55317702352574e-06	"2"	"UTRN"
"RAB8A"	4.12652285216537e-10	-0.0669986581760678	0.163	0.284	9.64615981922177e-06	"2"	"RAB8A"
"ZCRB1"	4.22511938396934e-10	-0.0801197753531275	0.362	0.548	9.87663907196673e-06	"2"	"ZCRB1"
"ZNF83"	4.41608802156876e-10	-0.0589428075391703	0.155	0.272	1.03230473592191e-05	"2"	"ZNF83"
"MFF"	4.62579125375617e-10	-0.0504392260729675	0.27	0.433	1.08132496347804e-05	"2"	"MFF"
"RBMS1"	4.65191740872788e-10	-0.103473181247183	0.442	0.641	1.08743221346423e-05	"2"	"RBMS1"
"SEL1L"	4.66880280443437e-10	-0.0590756385664014	0.162	0.281	1.09137934356458e-05	"2"	"SEL1L"
"CNPY2"	4.87302618125772e-10	-0.0905724209279408	0.417	0.616	1.1391186001308e-05	"2"	"CNPY2"
"ANAPC13"	4.91961303617677e-10	-0.0629481057342672	0.261	0.422	1.15000874333668e-05	"2"	"ANAPC13"
"RP11-220I1.1"	4.97759592972515e-10	-0.0620914371294934	0.151	0.264	1.16356282453255e-05	"2"	"RP11-220I1.1"
"ZNF706"	5.31522714445566e-10	-0.125128574301299	0.53	0.74	1.24248749728796e-05	"2"	"ZNF706"
"TUBA1B"	5.40526784347172e-10	-0.243570032879848	0.795	0.897	1.26353541108995e-05	"2"	"TUBA1B"
"PSENEN"	5.51605402890172e-10	-0.0611938207248545	0.306	0.477	1.28943278979607e-05	"2"	"PSENEN"
"SUN2"	5.62076625573595e-10	-0.0576135198287729	0.179	0.302	1.31391031994084e-05	"2"	"SUN2"
"ERRFI1"	5.69589360388681e-10	0.337798870718613	0.522	0.488	1.33147208884458e-05	"2"	"ERRFI1"
"COMMD5"	5.98840178584119e-10	-0.0530081955565653	0.152	0.268	1.39984880145824e-05	"2"	"COMMD5"
"COTL1"	6.28020339454241e-10	-0.0967278955801587	0.207	0.335	1.46806034550823e-05	"2"	"COTL1"
"PPP3CA"	6.44560622096797e-10	-0.0880260278233885	0.264	0.413	1.50672491021347e-05	"2"	"PPP3CA"
"LTBR"	6.47450181588921e-10	-0.0795630158883446	0.227	0.367	1.51347954448226e-05	"2"	"LTBR"
"FAM192A"	6.49902770043248e-10	-0.0567623319734717	0.142	0.253	1.5192127152531e-05	"2"	"FAM192A"
"FLOT1"	6.84472443026958e-10	-0.0802307452517985	0.33	0.505	1.60002278281982e-05	"2"	"FLOT1"
"CCDC107"	7.13494911956903e-10	-0.0670195152525968	0.297	0.461	1.66786570619046e-05	"2"	"CCDC107"
"LSM10"	7.1983138828902e-10	-0.0569624709517089	0.191	0.321	1.68267785326441e-05	"2"	"LSM10"
"TM2D2"	7.36383628217506e-10	-0.0524704728621168	0.179	0.303	1.72137036932124e-05	"2"	"TM2D2"
"BCKDK"	7.44797105315997e-10	-0.0265719784057523	0.161	0.282	1.74103771338667e-05	"2"	"BCKDK"
"TAGLN2"	7.85465679299339e-10	-0.170330492872447	0.649	0.822	1.83610457193013e-05	"2"	"TAGLN2"
"SWI5"	8.44328342683429e-10	-0.0689627497563703	0.192	0.321	1.97370193385678e-05	"2"	"SWI5"
"SSU72"	8.46975666150863e-10	-0.106181193457801	0.438	0.633	1.97989031719426e-05	"2"	"SSU72"
"RNMT"	8.55565855633364e-10	-0.06702872528265	0.275	0.433	1.99997074412855e-05	"2"	"RNMT"
"NDUFAF2"	8.70980273034297e-10	-0.0770177032793844	0.245	0.39	2.03600348624497e-05	"2"	"NDUFAF2"
"ZC3H11A"	9.0837371283218e-10	-0.0544900601878083	0.234	0.378	2.1234143911165e-05	"2"	"ZC3H11A"
"IMP4"	9.43126912979704e-10	-0.03772455325637	0.183	0.313	2.20465347178136e-05	"2"	"IMP4"
"MINOS1"	9.46155710869299e-10	-0.158687088892004	0.708	0.87	2.21173358972807e-05	"2"	"MINOS1"
"ARID5A"	9.74951340744635e-10	-0.0208554945708639	0.139	0.251	2.27904625412466e-05	"2"	"ARID5A"
"CLPTM1"	9.7915529613809e-10	-0.0532428227332117	0.162	0.279	2.2888734202524e-05	"2"	"CLPTM1"
"PSMD13"	9.85364697956088e-10	-0.0589148381381708	0.273	0.431	2.30338851794215e-05	"2"	"PSMD13"
"RHOQ"	1.02611137770518e-09	-0.102237109235639	0.175	0.291	2.39863795652363e-05	"2"	"RHOQ"
"NSL1"	1.04249143682961e-09	-0.0212783373654646	0.145	0.261	2.43692798273288e-05	"2"	"NSL1"
"NF1"	1.05783193869825e-09	-0.0529400601339863	0.183	0.31	2.47278793990102e-05	"2"	"NF1"
"NFE2L1"	1.0663681995737e-09	-0.0673198656527189	0.197	0.326	2.49274230332349e-05	"2"	"NFE2L1"
"ELL2"	1.08268008796061e-09	-0.118020347508363	0.144	0.25	2.53087297361672e-05	"2"	"ELL2"
"CAPNS1"	1.09435874458669e-09	-0.0633179194522955	0.308	0.478	2.55817300134585e-05	"2"	"CAPNS1"
"DEGS1"	1.0957527683469e-09	-0.0734767415681169	0.345	0.529	2.56143167128772e-05	"2"	"DEGS1"
"MCFD2"	1.1107446194704e-09	-0.0613573455704616	0.249	0.398	2.59647662247402e-05	"2"	"MCFD2"
"CBFB"	1.14570748991604e-09	-0.0591860965041801	0.154	0.266	2.67820582842773e-05	"2"	"CBFB"
"DERL1"	1.14665016689989e-09	-0.0722697098379661	0.217	0.353	2.68040943014518e-05	"2"	"DERL1"
"SHARPIN"	1.16522035813658e-09	-0.0473865475862907	0.198	0.325	2.72381910918007e-05	"2"	"SHARPIN"
"GTF3C6"	1.19254776696811e-09	-0.0654687474007102	0.315	0.492	2.78769966006465e-05	"2"	"GTF3C6"
"MZT2A"	1.23011054515041e-09	-0.118347993367439	0.474	0.673	2.87550641034361e-05	"2"	"MZT2A"
"UBE2V2"	1.27016179429955e-09	-0.0440449857785816	0.295	0.463	2.96913021035464e-05	"2"	"UBE2V2"
"ARL6IP1"	1.2882358252585e-09	0.35739553260941	0.557	0.593	3.01138006512427e-05	"2"	"ARL6IP1"
"CHCHD5"	1.2929860759041e-09	-0.0487483652494759	0.23	0.373	3.02248425103342e-05	"2"	"CHCHD5"
"LSMD1"	1.33847144119272e-09	-0.111756854925086	0.456	0.653	3.1288108409321e-05	"2"	"LSMD1"
"DRAP1"	1.34613398830485e-09	-0.124006371781794	0.539	0.734	3.14672281106141e-05	"2"	"DRAP1"
"BLOC1S6"	1.35470404653767e-09	-0.0309853391732707	0.199	0.334	3.16675617918645e-05	"2"	"BLOC1S6"
"RHOT2"	1.36878210098893e-09	-0.0472513211949215	0.154	0.268	3.19966503927172e-05	"2"	"RHOT2"
"RANBP1"	1.37058013422747e-09	-0.0997593711976252	0.487	0.699	3.20386812177013e-05	"2"	"RANBP1"
"RAB1B"	1.39271684882385e-09	-0.017974848567474	0.159	0.279	3.25561490581063e-05	"2"	"RAB1B"
"STOM"	1.43594267892637e-09	0.318782807711171	0.507	0.497	3.35665960625829e-05	"2"	"STOM"
"SGCD"	1.52644109278459e-09	-0.0508420877422956	0.166	0.285	3.56820869849325e-05	"2"	"SGCD"
"SYMPK"	1.54686027772173e-09	-0.0687168027774183	0.147	0.257	3.61594058520231e-05	"2"	"SYMPK"
"CRIP1"	1.57484257814373e-09	0.403488266991852	0.335	0.279	3.68135201066878e-05	"2"	"CRIP1"
"SERTAD3"	1.63974664324556e-09	-0.0252368202853765	0.17	0.293	3.83307175325081e-05	"2"	"SERTAD3"
"POLR2H"	1.70105207716887e-09	-0.0704169714800267	0.211	0.343	3.97637933558996e-05	"2"	"POLR2H"
"MT-ND4"	1.72460076343118e-09	0.146220266963402	1	1	4.03142674459674e-05	"2"	"MT-ND4"
"RPS13"	1.80131125489633e-09	0.117152673168008	0.999	0.996	4.21074518944567e-05	"2"	"RPS13"
"SLC25A11"	1.85432749305961e-09	-0.0430999633312452	0.175	0.293	4.33467594777615e-05	"2"	"SLC25A11"
"CDK4"	1.90955889113352e-09	-0.0631565213845714	0.326	0.5	4.46378486391372e-05	"2"	"CDK4"
"CLNS1A"	1.91327314087183e-09	-0.0664758906670014	0.284	0.443	4.47246729410199e-05	"2"	"CLNS1A"
"LYRM4"	1.92718256353613e-09	-0.0432154115797812	0.183	0.305	4.50498196052207e-05	"2"	"LYRM4"
"MLEC"	1.93604730971299e-09	-0.0796745925215585	0.293	0.455	4.52570419118508e-05	"2"	"MLEC"
"EPB41L2"	1.97149996546102e-09	0.316093638461967	0.537	0.535	4.60857831926167e-05	"2"	"EPB41L2"
"MAT2B"	2.00499799072955e-09	-0.0589946711720453	0.156	0.265	4.68688330312941e-05	"2"	"MAT2B"
"SPAG9"	2.0566568733835e-09	-0.0682982178041751	0.243	0.387	4.80764110722126e-05	"2"	"SPAG9"
"GLRX5"	2.09634991278309e-09	-0.0611383161747057	0.174	0.29	4.90042755612175e-05	"2"	"GLRX5"
"MAF"	2.13736935870957e-09	-0.113746309259397	0.193	0.31	4.99631461291948e-05	"2"	"MAF"
"PPP1R12A"	2.15485273152984e-09	-0.0723836531162899	0.351	0.525	5.03718374522415e-05	"2"	"PPP1R12A"
"ECHDC1"	2.20884890414839e-09	-0.0412349939453538	0.179	0.302	5.16340519833728e-05	"2"	"ECHDC1"
"DDX18"	2.30140787029233e-09	0.345739342383839	0.548	0.586	5.37977103759534e-05	"2"	"DDX18"
"M6PR"	2.4387229403791e-09	-0.035911241640303	0.177	0.299	5.70075874543017e-05	"2"	"M6PR"
"CCDC53"	2.44758858962114e-09	-0.051570960480547	0.233	0.374	5.72148308709839e-05	"2"	"CCDC53"
"MTX2"	2.47458840254977e-09	-0.0419432433494484	0.156	0.267	5.78459784980033e-05	"2"	"MTX2"
"GTF2F1"	2.48555252853037e-09	-0.0318483797287838	0.164	0.282	5.81022759069258e-05	"2"	"GTF2F1"
"SP100"	2.54480894476063e-09	-0.0945587882554189	0.332	0.502	5.94874538927245e-05	"2"	"SP100"
"MSRB2"	2.54912977036692e-09	-0.0313715119230261	0.26	0.416	5.95884575120971e-05	"2"	"MSRB2"
"DCBLD2"	2.54920404352633e-09	-0.0814743659879728	0.162	0.269	5.95901937214714e-05	"2"	"DCBLD2"
"BCLAF1"	2.5745553884977e-09	-0.0529561277711548	0.297	0.458	6.01828067615221e-05	"2"	"BCLAF1"
"RPS15"	2.62912511971499e-09	0.100427008306147	1	1	6.14584287984576e-05	"2"	"RPS15"
"TBL1XR1"	2.6341238565325e-09	-0.0484483700756606	0.268	0.424	6.15752792703037e-05	"2"	"TBL1XR1"
