"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"RHOB"	2.0480449465142e-156	1.47151846920613	0.779	0.517	4.78750986697159e-152	"2"	"RHOB"
"SPARCL1"	9.88817278473433e-156	1.11665330583035	0.981	0.868	2.3114592701595e-151	"2"	"SPARCL1"
"GPX3"	1.77884197391348e-155	1.48092162587108	0.699	0.333	4.15822099822014e-151	"2"	"GPX3"
"CDH11"	5.36279763374783e-155	-1.09282953830592	0.242	0.731	1.25360757486489e-150	"2"	"CDH11"
"MFAP5"	3.62302639126981e-153	-1.64177329452004	0.056	0.547	8.4691864922323e-149	"2"	"MFAP5"
"EPHX1"	2.7649084252524e-152	1.23421180386842	0.727	0.436	6.46324993487e-148	"2"	"EPHX1"
"LDHA"	2.23882062851279e-151	-1.03464310626853	0.659	0.927	5.23346710121149e-147	"2"	"LDHA"
"ANTXR1"	1.83384856868817e-149	-1.17247591778448	0.247	0.727	4.28680441416547e-145	"2"	"ANTXR1"
"ACTB"	2.23557219222421e-147	-0.960745817470166	0.993	1	5.22587355654331e-143	"2"	"ACTB"
"PDLIM3"	8.63187985872665e-145	-1.0958924085682	0.182	0.671	2.01778823577594e-140	"2"	"PDLIM3"
"IGLL5"	1.10664065564941e-144	-1.54968491232635	0.014	0.475	2.58688319664606e-140	"2"	"IGLL5"
"PPIC"	1.68363646654561e-144	-0.961013959855425	0.557	0.887	3.93566860419702e-140	"2"	"PPIC"
"GJB2"	1.83483036897262e-143	-1.70191654928724	0.003	0.459	4.2890994705104e-139	"2"	"GJB2"
"FNDC1"	8.68872769860195e-142	-1.13695719352931	0.02	0.478	2.03107698682519e-137	"2"	"FNDC1"
"PRSS23"	1.1650520582851e-141	-1.45074019896406	0.352	0.771	2.72342569144724e-137	"2"	"PRSS23"
"NOVA1"	3.40808641352681e-141	1.02571049522985	0.408	0.111	7.96674280026028e-137	"2"	"NOVA1"
"FBXO32"	3.93563402481102e-141	-1.17396793682252	0.125	0.608	9.19993809639824e-137	"2"	"FBXO32"
"RAB31"	5.79219139761554e-141	-0.999079280485496	0.278	0.748	1.35398266110661e-136	"2"	"RAB31"
"PNLIPRP1"	1.60751515847739e-140	0.731044334158602	0.293	0.051	3.75772743445674e-136	"2"	"PNLIPRP1"
"COL12A1"	2.17168126627948e-140	-1.66302422713465	0.244	0.682	5.07652212805492e-136	"2"	"COL12A1"
"NTM"	3.98428465534048e-139	-1.02012016749262	0.034	0.492	9.3136638103239e-135	"2"	"NTM"
"RSPO3"	6.6817307366432e-139	1.09586135894994	0.421	0.122	1.56192137699772e-134	"2"	"RSPO3"
"NDRG2"	8.45718636783694e-139	1.03163924051248	0.639	0.32	1.97695188534556e-134	"2"	"NDRG2"
